Brand,Model,RAM,Storage,Camera,Battery,Processor,Price,Units Sold,Region,Channel,Year
Apple,APP-101,16GB,512GB,64MP,4300mAh,A16 Bionic,106000,3867,Madhya Pradesh,Retail,2022
Apple,APP-101,16GB,512GB,64MP,4300mAh,A16 Bionic,106000,11687,Maharashtra,Online,2022
Apple,APP-101,16GB,512GB,64MP,4300mAh,A16 Bionic,106000,8053,Tamil Nadu,Online,2022
Apple,APP-101,16GB,512GB,64MP,4300mAh,A16 Bionic,106000,19611,Uttar Pradesh,Wholesale,2022
Apple,APP-101,16GB,512GB,64MP,4300mAh,A16 Bionic,106000,18780,Telangana,Wholesale,2022
Apple,APP-102,4GB,512GB,64MP,4000mAh,Dimensity 8200,99000,16455,Delhi,Retail,2022
Apple,APP-102,4GB,512GB,64MP,4000mAh,Dimensity 8200,99000,14371,Gujarat,Wholesale,2022
Apple,APP-102,4GB,512GB,64MP,4000mAh,Dimensity 8200,99000,2817,Telangana,Online,2022
Apple,APP-102,4GB,512GB,64MP,4000mAh,Dimensity 8200,99000,9965,Karnataka,Retail,2022
Apple,APP-102,4GB,512GB,64MP,4000mAh,Dimensity 8200,99000,13875,Uttar Pradesh,Online,2022
Apple,APP-103,12GB,256GB,108MP,5500mAh,A17 Pro,105000,8057,Madhya Pradesh,Wholesale,2022
Apple,APP-103,12GB,256GB,108MP,5500mAh,A17 Pro,105000,13044,Tamil Nadu,Wholesale,2022
Apple,APP-103,12GB,256GB,108MP,5500mAh,A17 Pro,105000,15791,Maharashtra,Wholesale,2022
Apple,APP-103,12GB,256GB,108MP,5500mAh,A17 Pro,105000,4898,Telangana,Retail,2022
Apple,APP-103,12GB,256GB,108MP,5500mAh,A17 Pro,105000,14167,West Bengal,Retail,2022
Apple,APP-104,6GB,64GB,200MP,4000mAh,A15 Bionic,100000,11032,Uttar Pradesh,Online,2024
Apple,APP-104,6GB,64GB,200MP,4000mAh,A15 Bionic,100000,17407,West Bengal,Wholesale,2024
Apple,APP-104,6GB,64GB,200MP,4000mAh,A15 Bionic,100000,14010,Madhya Pradesh,Wholesale,2024
Apple,APP-104,6GB,64GB,200MP,4000mAh,A15 Bionic,100000,11783,Telangana,Online,2024
Apple,APP-104,6GB,64GB,200MP,4000mAh,A15 Bionic,100000,5814,Karnataka,Retail,2024
Apple,APP-105,12GB,128GB,48MP,4500mAh,A17 Pro,100000,12985,Uttar Pradesh,Retail,2025
Apple,APP-105,12GB,128GB,48MP,4500mAh,A17 Pro,100000,17292,Maharashtra,Wholesale,2025
Apple,APP-105,12GB,128GB,48MP,4500mAh,A17 Pro,100000,13459,Telangana,Wholesale,2025
Apple,APP-105,12GB,128GB,48MP,4500mAh,A17 Pro,100000,5634,Tamil Nadu,Retail,2025
Apple,APP-105,12GB,128GB,48MP,4500mAh,A17 Pro,100000,14455,Gujarat,Retail,2025
Apple,APP-106,12GB,128GB,64MP,4000mAh,Snapdragon 8 Gen 2,100500,18734,Telangana,Wholesale,2022
Apple,APP-106,12GB,128GB,64MP,4000mAh,Snapdragon 8 Gen 2,100500,3953,Karnataka,Online,2022
Apple,APP-106,12GB,128GB,64MP,4000mAh,Snapdragon 8 Gen 2,100500,12665,Tamil Nadu,Retail,2022
Apple,APP-106,12GB,128GB,64MP,4000mAh,Snapdragon 8 Gen 2,100500,19064,Maharashtra,Wholesale,2022
Apple,APP-106,12GB,128GB,64MP,4000mAh,Snapdragon 8 Gen 2,100500,4322,Uttar Pradesh,Wholesale,2022
Apple,APP-107,8GB,128GB,48MP,4500mAh,Snapdragon 7 Gen 1,102500,5355,Bihar,Online,2023
Apple,APP-107,8GB,128GB,48MP,4500mAh,Snapdragon 7 Gen 1,102500,11373,Delhi,Retail,2023
Apple,APP-107,8GB,128GB,48MP,4500mAh,Snapdragon 7 Gen 1,102500,18697,Telangana,Retail,2023
Apple,APP-107,8GB,128GB,48MP,4500mAh,Snapdragon 7 Gen 1,102500,4819,Maharashtra,Wholesale,2023
Apple,APP-107,8GB,128GB,48MP,4500mAh,Snapdragon 7 Gen 1,102500,14380,Tamil Nadu,Online,2023
Apple,APP-108,12GB,512GB,64MP,4500mAh,A16 Bionic,102000,19214,Gujarat,Retail,2025
